1548147518593514240,-0.76474,-0.02813,0.04572,0.72612,0.00536,-0.68754,0.00020,-0.35768,-0.00319,0.03267,
1548147518693434112,-0.79600,-0.03247,0.04934,0.72365,0.00731,-0.69012,0.00273,-0.36814,-0.00440,0.03883,
1548147518793353984,-0.83570,-0.03347,0.05788,0.72168,0.00668,-0.69219,0.00308,-0.40562,-0.01492,0.03799,
1548147518893284096,-0.89012,-0.03631,0.06700,0.71928,0.00759,-0.69466,0.00503,-0.44316,-0.00668,0.02178,
1548147518993204224,-0.93710,-0.04170,0.07475,0.71898,0.00752,-0.69498,0.00366,-0.49641,-0.05437,0.00688,
1548147519093124096,-1.01176,-0.05360,0.09720,0.71445,0.00964,-0.69962,0.00216,-0.45879,-0.01968,0.04280,
1548147519193044224,-1.06415,-0.05192,0.09968,0.71304,0.00880,-0.70106,0.00290,-0.44786,-0.02577,0.03069,
1548147519292964096,-1.12158,-0.05752,0.10571,0.71260,0.00883,-0.70151,0.00262,-0.42435,-0.02082,0.02926,
1548147519392883968,-1.16402,-0.05785,0.10600,0.71240,0.00762,-0.70173,0.00211,-0.38799,-0.02895,0.02429,
1548147519492804096,-1.20752,-0.06010,0.11007,0.71344,0.00785,-0.70067,0.00230,-0.37383,-0.02192,0.03049,
1548147519592723968,-1.24361,-0.06054,0.11138,0.71507,0.00661,-0.69901,0.00183,-0.33690,-0.02622,0.02660,
1548147519692644096,-1.27768,-0.06374,0.10949,0.71698,0.00713,-0.69706,0.00193,-0.34326,-0.01607,0.01417,
1548147519792574208,-1.31825,-0.06662,0.10856,0.71765,0.00659,-0.69637,0.00173,-0.36321,-0.02651,0.01841,
1548147519892494080,-1.35777,-0.06935,0.10807,0.71787,0.00698,-0.69614,0.00111,-0.39487,-0.03629,0.01592,
1548147519992413952,-1.40287,-0.07265,0.10867,0.71688,0.00713,-0.69716,0.00085,-0.41561,-0.03278,0.01707,
1548147520092334080,-1.45678,-0.07611,0.10716,0.71545,0.00711,-0.69863,-0.00023,-0.43502,-0.03218,0.01495,
1548147520192253952,-1.49889,-0.07779,0.10971,0.71421,0.00716,-0.69990,-0.00053,-0.41540,-0.02332,0.02515,
1548147520292174080,-1.53608,-0.07656,0.11224,0.71375,0.00639,-0.70037,-0.00153,-0.39952,-0.01957,0.02028,
1548147520392094208,-1.57252,-0.07657,0.11547,0.71439,0.00565,-0.69972,-0.00182,-0.38589,-0.01839,0.01696,
1548147520492014080,-1.61173,-0.07847,0.11814,0.71520,0.00503,-0.69889,-0.00250,-0.39994,-0.02566,0.01944,
