1548147264943700480,-0.30764,-0.00411,0.02336,0.74913,-0.01278,-0.66224,-0.00811,-0.37618,-0.00157,0.01788,
1548147265043620608,-0.35025,-0.00385,0.02275,0.74890,-0.01322,-0.66251,-0.00793,-0.45743,-0.00845,-0.00239,
1548147265143540736,-0.38604,-0.00722,0.02750,0.74865,-0.01298,-0.66278,-0.00911,-0.34390,-0.03025,0.05408,
1548147265243460608,-0.42387,-0.00602,0.02987,0.74902,-0.01178,-0.66238,-0.00867,-0.43352,0.00328,0.02346,
1548147265343380480,-0.46368,-0.00668,0.03568,0.74622,-0.00988,-0.66558,-0.00786,-0.38731,-0.03004,0.01834,
1548147265443300608,-0.49958,-0.00770,0.03841,0.74345,-0.00951,-0.66867,-0.00802,-0.39336,-0.01212,0.01903,
1548147265543220480,-0.53763,-0.00926,0.04185,0.74098,-0.00804,-0.67144,-0.00729,-0.43959,-0.02039,0.02454,
1548147265643140608,-0.58619,-0.01214,0.04489,0.73834,-0.00804,-0.67433,-0.00834,-0.51583,-0.01790,0.01799,
1548147265743060480,-0.63522,-0.01136,0.04693,0.73543,-0.00733,-0.67751,-0.00792,-0.54255,-0.00726,0.00009,
1548147265842980608,-0.68841,-0.01164,0.04648,0.73233,-0.00763,-0.68086,-0.00798,-0.50992,0.00642,0.01302,
1548147265942910464,-0.73169,-0.00984,0.04667,0.72956,-0.00744,-0.68383,-0.00764,-0.47012,-0.01508,0.01532,
1548147266042830592,-0.77460,-0.00976,0.04748,0.72703,-0.00724,-0.68652,-0.00788,-0.41649,-0.00246,0.00899,
1548147266142750464,-0.80739,-0.01008,0.04808,0.72482,-0.00647,-0.68887,-0.00752,-0.37887,-0.00303,0.02703,
1548147266242670592,-0.84367,-0.01226,0.05041,0.72334,-0.00607,-0.69043,-0.00716,-0.35371,0.00092,0.02433,
1548147266342590464,-0.86639,-0.01660,0.04977,0.72169,-0.00589,-0.69216,-0.00664,-0.38658,-0.00079,0.01950,
1548147266442510592,-0.90873,-0.01629,0.05126,0.72003,-0.00677,-0.69388,-0.00679,-0.44151,-0.00917,0.01820,
1548147266542430464,-0.95382,-0.02116,0.04872,0.71962,-0.00685,-0.69428,-0.00872,-0.50416,-0.03064,0.00782,
1548147266642350336,-1.00692,-0.02495,0.04981,0.71360,-0.00558,-0.70048,-0.00895,-0.44784,-0.01725,0.01012,
